h3_index,상권업종대분류명,store_count
8930e036433ffff,예술·스포츠,3
8930e036433ffff,음식,24
8930e036437ffff,과학·기술,72
8930e036437ffff,교육,3
8930e036437ffff,부동산,6
8930e036437ffff,소매,23
8930e036437ffff,수리·개인,11
8930e036437ffff,시설관리·임대,9
8930e036437ffff,예술·스포츠,1
8930e036437ffff,음식,29
8930e03643bffff,과학·기술,173
8930e03643bffff,교육,7
8930e03643bffff,부동산,8
8930e03643bffff,소매,34
8930e03643bffff,수리·개인,6
8930e03643bffff,숙박,2
8930e03643bffff,시설관리·임대,20
8930e03643bffff,예술·스포츠,2
8930e03643bffff,음식,24
8930e036467ffff,과학·기술,372
8930e036467ffff,교육,25
8930e036467ffff,보건의료,6
8930e036467ffff,부동산,31
8930e036467ffff,소매,58
8930e036467ffff,수리·개인,21
8930e036467ffff,시설관리·임대,50
8930e036467ffff,예술·스포츠,5
8930e036467ffff,음식,84
8930e03646fffff,과학·기술,1
